WBANNO,UTC_DATE,UTC_TIME,LST_DATE,LST_TIME,CRX_VN,LONGITUDE,LATITUDE,T_CALC,T_HR_AVG,T_MAX,T_MIN,P_CALC,SOLARAD,SOLARAD_FLAG,SOLARAD_MAX,SOLARAD_MAX_FLAG,SOLARAD_MIN,SOLARAD_MIN_FLAG,SUR_TEMP_TYPE,SUR_TEMP,SUR_TEMP_FLAG,SUR_TEMP_MAX,SUR_TEMP_MAX_FLAG,SUR_TEMP_MIN,SUR_TEMP_MIN_FLAG,RH_HR_AVG,RH_HR_AVG_FLAG,SOIL_MOISTURE_5,SOIL_MOISTURE_10,SOIL_MOISTURE_20,SOIL_MOISTURE_50,SOIL_MOISTURE_100,SOIL_TEMP_5,SOIL_TEMP_10,SOIL_TEMP_20,SOIL_TEMP_50,SOIL_TEMP_100
54933,20210101,100,20201231,1900,2.622,-99.13,45.71,-7.3,-7.3,-6.2,-8.2,0,0,0,0,0,0,0,C,-7.4,0,-6.8,0,-8.8,0,81,0,-99,-99,0.143,0.126,0.204,-0.8,-0.4,0.4,1.6,3.3
54933,20210101,200,20201231,2000,2.622,-99.13,45.71,-8.4,-8,-7.3,-8.4,0,0,0,0,0,0,0,C,-10.9,0,-8.8,0,-12.2,0,82,0,-99,-99,0.143,0.126,0.204,-0.8,-0.4,0.4,1.6,3.2
54933,20210101,300,20201231,2100,2.622,-99.13,45.71,-7.1,-8.3,-6.7,-9.2,0,0,0,0,0,0,0,C,-12.1,0,-11.8,0,-12.4,0,83,0,-99,-99,0.143,0.126,0.204,-0.8,-0.4,0.4,1.6,3.3
54933,20210101,400,20201231,2200,2.622,-99.13,45.71,-5.8,-6.3,-5.8,-7.2,0,0,0,0,0,0,0,C,-12.9,0,-11.7,0,-13.6,0,78,0,-99,-99,0.143,0.126,0.204,-0.8,-0.4,0.4,1.6,3.3
54933,20210101,500,20201231,2300,2.622,-99.13,45.71,-4.9,-4.5,-3.8,-5.8,0,0,0,0,0,0,0,C,-12,0,-9.5,0,-13.8,0,70,0,-99,-99,0.143,0.126,0.204,-0.8,-0.4,0.4,1.6,3.3
54933,20210101,600,20210101,0,2.622,-99.13,45.71,-4.3,-5.3,-4.2,-7.2,0,0,0,0,0,0,0,C,-11.2,0,-10.2,0,-12,0,74,0,-99,-99,0.142,0.126,0.204,-0.8,-0.3,0.4,1.6,3.3
54933,20210101,700,20210101,100,2.622,-99.13,45.71,-4.8,-4,-3.1,-4.8,0,0,0,0,0,0,0,C,-10.6,0,-9.7,0,-11.3,0,77,0,-99,-99,0.142,0.126,0.205,-0.8,-0.4,0.4,1.6,3.3
54933,20210101,800,20210101,200,2.622,-99.13,45.71,-6.3,-6,-4.8,-6.8,0,0,0,0,0,0,0,C,-10.5,0,-9.8,0,-12.4,0,83,0,-99,-99,0.143,0.126,0.204,-0.8,-0.3,0.4,1.6,3.2
54933,20210101,900,20210101,300,2.622,-99.13,45.71,-7,-7.3,-5.8,-8.4,0,0,0,0,0,0,0,C,-12.3,0,-10.7,0,-13.2,0,88,0,-99,-99,0.143,0.126,0.204,-0.8,-0.4,0.4,1.6,3.3
54933,20210101,1000,20210101,400,2.622,-99.13,45.71,-8.1,-7.5,-6.5,-8.3,0,0,0,0,0,0,0,C,-11.5,0,-10.5,0,-12.7,0,89,0,-99,-99,0.142,0.126,0.204,-0.8,-0.4,0.4,1.6,3.3
54933,20210101,1100,20210101,500,2.622,-99.13,45.71,-8.6,-8,-7,-8.7,0,0,0,0,0,0,0,C,-11.9,0,-11.3,0,-12.7,0,91,0,-99,-99,0.143,0.126,0.204,-0.8,-0.4,0.4,1.5,3.2
54933,20210101,1200,20210101,600,2.622,-99.13,45.71,-7.8,-8,-7,-8.6,0,0,0,0,0,0,0,C,-13.3,0,-12.3,0,-14.6,0,92,0,-99,-99,0.143,0.126,0.204,-0.8,-0.4,0.4,1.5,3.3
54933,20210101,1300,20210101,700,2.622,-99.13,45.71,-8.9,-8.9,-7.8,-9.9,0,0,0,0,0,0,0,C,-13.9,0,-13.4,0,-14.4,0,92,0,-99,-99,0.143,0.126,0.204,-0.8,-0.4,0.4,1.6,3.2
54933,20210101,1400,20210101,800,2.622,-99.13,45.71,-8.2,-9,-8.2,-10.4,0,0,0,0,0,0,0,C,-10.9,0,-9,0,-14.6,0,92,0,-99,-99,0.142,0.127,0.204,-0.8,-0.4,0.4,1.6,3.3
54933,20210101,1500,20210101,900,2.622,-99.13,45.71,-8.8,-8.6,-7.9,-8.9,0,12,0,44,0,0,0,C,-10,0,-9.1,0,-10.7,0,91,0,-99,-99,0.142,0.127,0.204,-0.8,-0.4,0.5,1.6,3.2
54933,20210101,1600,20210101,1000,2.622,-99.13,45.71,-7.4,-8.1,-7.4,-8.8,0,92,0,198,0,34,0,C,-8.9,0,-8,0,-10.2,0,90,0,-99,-99,0.142,0.127,0.204,-0.8,-0.4,0.4,1.5,3.2
54933,20210101,1700,20210101,1100,2.622,-99.13,45.71,-5.7,-6.3,-5.7,-7.4,0,138,0,243,0,23,0,C,-5.8,0,-4.1,0,-8,0,91,0,-99,-99,0.142,0.126,0.204,-0.8,-0.4,0.4,1.5,3.3
54933,20210101,1800,20210101,1200,2.622,-99.13,45.71,-5,-5.4,-5,-5.7,0,211,0,365,0,140,0,C,-3.3,0,-2.3,0,-4.1,0,91,0,-99,-99,0.142,0.126,0.205,-0.8,-0.4,0.4,1.6,3.2
54933,20210101,1900,20210101,1300,2.622,-99.13,45.71,-3.8,-4.5,-3.8,-5,0,243,0,347,0,195,0,C,-2.4,0,-1.8,0,-2.7,0,92,0,-99,-99,0.142,0.126,0.204,-0.8,-0.4,0.4,1.6,3.2
54933,20210101,2000,20210101,1400,2.622,-99.13,45.71,-2.9,-3.4,-2.8,-3.9,0,261,0,445,0,166,0,C,-1.9,0,-1.2,0,-2.4,0,93,0,-99,-99,0.142,0.127,0.204,-0.8,-0.3,0.4,1.6,3.2
54933,20210101,2100,20210101,1500,2.622,-99.13,45.71,-2.2,-2.6,-2.2,-3,0,265,0,315,0,211,0,C,-2.6,0,-2.4,0,-2.8,0,93,0,-99,-99,0.143,0.126,0.204,-0.8,-0.4,0.4,1.5,3.2
